,Apellido,Equipo,Posición,Minutos,Tiros,Pases,Entradas,Tapadas
0,Abdoun,Argelia,centrocampista,16,0,6,0,0
1,Belhadj,Argelia,defensa,270,1,146,8,0
2,Boudebouz,Argelia,centrocampista,74,3,28,1,0
3,Bougherra,Argelia,defensa,270,1,89,11,0
4,Chaouchi,Argelia,delantero,90,0,17,0,2
5,Djebbour,Argelia,portero,123,3,19,1,0
6,Ghezzal,Argelia,portero,40,3,8,0,0
7,Guedioura,Argelia,centrocampista,38,0,18,1,0
8,Halliche,Argelia,defensa,270,2,94,4,0
9,Kadir,Argelia,centrocampista,262,0,104,3,0
10,Lacen,Argelia,centrocampista,270,0,158,8,0
11,M'Bolhi,Argelia,delantero,180,0,30,0,12
12,Matmour,Argelia,centrocampista,255,3,68,3,0
13,Mesbah,Argelia,centrocampista,1,0,1,0,0
14,Saifi,Argelia,portero,15,1,3,0,0
15,Yahia,Argelia,defensa,269,1,79,4,0
16,Yebda,Argelia,centrocampista,269,8,138,10,0
17,Ziani,Argelia,centrocampista,240,5,93,6,0
18,Aguero,Argentina,portero,106,2,57,2,0
19,Bolatti,Argentina,centrocampista,98,2,97,4,0
20,Burdisso,Argentina,defensa,341,1,167,1,0
21,Demichelis,Argentina,defensa,450,1,218,7,0
22,Di Maria,Argentina,centrocampista,356,7,148,12,0
23,Gutierrez,Argentina,centrocampista,191,0,83,11,0
24,Heinze,Argentina,defensa,360,3,188,6,0
25,Higuain,Argentina,portero,341,13,93,5,0
26,Mascherano,Argentina,centrocampista,360,0,237,19,0
27,Maxi Rodriguez,Argentina,centrocampista,346,2,218,9,0
28,Messi,Argentina,portero,450,21,321,10,0
29,Milito,Argentina,portero,91,0,33,0,0
30,Otamendi,Argentina,defensa,250,0,141,6,0
31,Palermo,Argentina,portero,10,3,8,0,0
32,Pastore,Argentina,centrocampista,37,2,44,3,0
33,Rodriguez,Argentina,defensa,90,1,72,1,0
34,Romero,Argentina,delantero,450,0,47,0,10
35,Samuel,Argentina,defensa,114,2,43,1,0
36,Tevez,Argentina,portero,324,6,164,7,0
37,Veron,Argentina,centrocampista,185,3,235,10,0
38,Beauchamp,Australia,defensa,90,0,33,2,0
39,Bresciano,Australia,centrocampista,132,3,47,1,0
40,Cahill,Australia,centrocampista,146,6,39,1,0
41,Carney,Australia,defensa,180,0,56,4,0
42,Chipperfield,Australia,centrocampista,138,2,50,3,0
43,Culina,Australia,centrocampista,270,4,153,0,0
44,Emerton,Australia,centrocampista,254,1,89,3,0
45,Garcia,Australia,centrocampista,72,2,24,3,0
46,Grella,Australia,centrocampista,45,0,18,2,0
47,Holman,Australia,portero,138,3,49,2,0
48,Jedinak,Australia,centrocampista,16,0,15,0,0
49,Kennedy,Australia,portero,112,3,29,1,0
50,Kewell,Australia,centrocampista,24,0,7,1,0
51,Moore,Australia,defensa,180,1,91,3,0
52,Neill,Australia,defensa,270,1,135,4,0
53,Rukavytsya,Australia,portero,32,1,12,0,0
54,Schwarzer,Australia,delantero,270,0,51,0,13
55,Valeri,Australia,centrocampista,245,0,135,5,0
56,Wilkshire,Australia,centrocampista,256,2,117,8,0
57,Baptista,Brasil,centrocampista,82,0,42,1,0
58,Daniel Alves,Brasil,defensa,310,11,215,6,0
59,Elano,Brasil,centrocampista,140,5,57,6,0
60,Fabiano,Brasil,portero,418,9,89,4,0
61,Gilberto,Brasil,defensa,33,0,6,4,0
62,Gilberto Silva,Brasil,centrocampista,450,3,299,11,0
63,Grafite,Brasil,portero,5,0,4,0,0
64,Josue,Brasil,centrocampista,46,0,54,1,0
65,Juan,Brasil,defensa,450,4,223,9,0
66,Julio Cesar,Brasil,delantero,450,0,69,0,10
67,Kaka,Brasil,centrocampista,337,6,139,2,0
68,Kleberson,Brasil,centrocampista,9,0,1,0,0
69,Lucio,Brasil,defensa,450,1,223,14,0
70,Maicon,Brasil,defensa,450,6,249,11,0
71,Melo,Brasil,centrocampista,291,2,249,12,0
